256 228 246
239 256 267
267 256 279
395 409 421
395 421 399
380 395 363
279 256 246
433 452 443
389 362 399
361 389 385
385 389 418
352 385 378
378 385 413
346 378 369
369 378 403
363 395 399
335 369 356
356 369 387
321 356 340
340 356 374
294 340 307
307 340 350
279 270 307
279 307 323
264 250 283
418 389 420
385 418 413
413 418 437
399 421 435
378 413 403
403 413 432
421 433 443
421 443 435
435 443 458
369 403 387
387 403 423
356 387 374
250 267 283
283 267 305
340 374 350
437 418 441
413 437 432
307 350 323
279 305 267
443 452 462
305 279 323
305 323 353
283 305 328
403 432 423
458 443 462
458 462 472
472 462 476
458 472 466
435 458 449
452 468 462
462 468 476
476 468 483
476 483 488
488 483 494
476 484 472
264 283 303
353 323 350
305 353 328
420 389 399
420 399 435
418 420 441
387 423 412
374 387 412
437 441 453
466 472 481
458 466 449
449 466 460
460 466 475
449 460 441
449 441 420
283 328 303
303 328 348
348 328 377
303 348 329
435 449 420
475 466 481
475 481 492
460 475 469
264 303 288
288 303 329
288 329 317
317 329 355
355 329 364
317 355 344
412 423 438
364 329 348
364 348 382
382 348 377
382 377 414
364 382 406
406 382 414
355 364 401
377 328 353
453 441 460
453 460 469
453 469 454
437 453 454
481 472 484
469 475 487
438 423 446
412 438 429
454 469 471
437 454 432
484 476 488
484 488 495
495 488 500
484 495 490
500 488 494
500 494 501
500 501 504
495 500 502
490 495 499
490 499 492
484 490 481
481 490 492
446 423 432
438 446 457
438 457 448
438 448 429
429 448 440
429 440 419
457 446 465
419 440 431
429 384 412
465 446 454
510 508 507
507 508 506
506 508 504
506 504 501
506 501 507
471 465 454
406 401 364
504 502 500
397 393 344
487 480 469
469 480 471
425 414 377
401 397 355
492 487 475
431 425 400
400 425 377
431 400 419
502 499 495
393 391 367
393 367 344
350 374 384
384 374 412
350 384 353
344 355 397
432 454 446
419 400 384
419 384 429
362 363 399
377 353 400
400 353 384
306 301 334
230 221 232
221 210 216
301 298 326
298 291 318
242 230 247
291 285 311
252 242 260
285 278 299
278 268 292
268 261 280
261 252 269
232 221 216
230 232 247
247 232 257
326 298 318
326 318 345
301 326 334
318 291 311
318 311 345
242 247 260
260 247 277
252 260 269
269 260 289
311 285 299
311 299 342
299 278 292
299 292 342
261 269 280
280 269 324
292 268 280
292 280 324
358 334 347
216 219 233
380 358 371
219 227 245
347 334 326
347 326 345
358 347 371
371 347 345
233 219 245
233 245 257
216 233 232
232 233 257
409 380 396
227 238 255
380 371 396
396 371 376
245 227 255
245 255 273
247 257 277
277 257 290
433 409 422
260 277 289
289 277 314
311 342 345
324 269 289
292 324 342
238 249 266
371 345 376
376 345 342
409 396 422
422 396 410
255 238 266
255 266 282
452 433 444
290 257 273
290 273 315
277 290 314
314 290 337
289 314 336
396 376 410
410 376 390
249 263 286
273 255 282
273 282 315
315 282 322
245 273 257
337 290 315
337 315 351
314 337 354
390 376 342
410 390 427
422 410 436
433 422 444
444 422 436
444 436 459
322 266 286
315 322 351
337 351 372
282 266 322
286 266 249
452 444 463
351 322 365
336 314 354
289 336 324
459 436 450
444 459 463
463 459 473
473 459 467
463 473 477
468 452 463
468 463 477
468 477 483
483 477 489
489 477 485
483 489 494
286 263 302
354 337 372
354 372 388
427 390 416
410 427 436
436 427 450
372 351 386
467 459 450
467 450 461
461 450 442
467 461 478
473 467 482
365 322 341
351 365 386
388 372 408
354 388 375
442 450 427
461 442 455
478 461 474
467 478 482
482 478 493
302 263 287
302 287 330
286 302 341
330 287 316
302 330 349
416 390 379
427 416 442
372 386 408
473 482 485
341 322 286
365 341 381
388 408 426
375 388 411
354 375 336
455 442 434
474 461 455
349 330 370
478 474 486
302 349 341
379 390 342
416 379 405
485 482 491
473 485 477
489 485 496
496 485 491
489 496 497
496 491 503
497 496 505
489 497 494
494 497 501
501 497 505
381 341 349
411 388 426
370 330 357
426 408 447
434 442 416
365 381 404
375 411 405
349 370 383
455 434 451
405 379 368
416 405 434
491 482 493
392 394 366
366 394 373
373 394 398
373 398 357
366 373 343
343 373 357
439 447 408
498 503 491
498 491 493
383 370 407
383 407 415
383 415 381
470 474 455
357 330 316
357 316 343
379 342 324
379 324 368
398 402 357
456 464 445
445 464 451
456 445 426
505 509 501
451 434 428
428 434 405
451 428 445
424 430 404
404 430 417
417 430 439
417 439 408
404 417 386
386 417 408
486 493 478
404 381 424
447 456 426
503 505 496
349 383 381
415 424 381
479 486 474
479 474 470
370 357 402
405 368 375
375 368 336
402 407 370
464 470 451
509 510 507
509 507 501
455 451 470
365 404 386
411 426 445
445 428 411
411 428 405
324 336 368

